x,y,fb_velocity,fb_steering
-28.4076,-2.74113,0,0
-28.2053,-2.72907,0,0
-27.9885,-2.72533,0,0
-27.7344,-2.72264,0,0
-27.5072,-2.72136,0,0
-27.2968,-2.70209,0,0
-27.076,-2.68009,0,0
-26.8467,-2.67739,0,0
-26.6192,-2.67852,0,0
-26.3986,-2.67394,0,0
-26.1655,-2.67915,0,0
-25.9289,-2.67189,0,0
-25.6731,-2.65842,0,0
-25.4507,-2.65189,0,0
-25.2505,-2.64046,0,0
-24.964,-2.607,0,0
-24.7436,-2.58607,0,0
-24.4999,-2.58107,0,0
-24.2588,-2.57613,0,0
-23.9627,-2.57851,0,0
-23.7249,-2.54468,0,0
-23.4427,-2.54981,0,0
-23.2402,-2.54052,0,0
-22.9874,-2.53099,0,0
-22.7354,-2.52211,0,0
-22.4932,-2.51531,0,0
-22.2777,-2.50682,0,0
-22.0178,-2.50381,0,0
-21.797,-2.50638,0,0
-21.5798,-2.50113,0,0
-21.3138,-2.5001,0,0
-21.0766,-2.50885,0,0
-20.8729,-2.51026,0,0
-20.6071,-2.51135,0,0
-20.2834,-2.50185,0,0
-19.9418,-2.46736,0,0
-19.7341,-2.43754,0,0
-19.5008,-2.42708,0,0
-19.2667,-2.43137,0,0
-18.9358,-2.42802,0,0
-18.7284,-2.40662,0,0
-18.4248,-2.37745,0,0
-18.1684,-2.37533,0,0
-17.8301,-2.37845,0,0
-17.5036,-2.37034,0,0
-17.1566,-2.36067,0,0
-16.9212,-2.35526,0,0
-16.6498,-2.35154,0,0
-16.447,-2.3464,0,0
-16.1954,-2.34804,0,0
-15.9508,-2.34682,0,0
-15.73,-2.35055,0,0
-15.5089,-2.35375,0,0
-15.298,-2.3548,0,0
-15.0191,-2.35036,0,0
-14.7406,-2.32836,0,0
-14.5289,-2.31707,0,0
-14.2998,-2.32325,0,0
-14.074,-2.31797,0,0
-13.8554,-2.31592,0,0
-13.6237,-2.3058,0,0
-13.4134,-2.30144,0,0
-13.1634,-2.29661,0,0
-12.8894,-2.2863,0,0
