id,latitude,longitude
1,-7.28629000,112.79353000
2,-7.28627292,112.79352431
3,-7.28625585,112.79351862
4,-7.28623877,112.79351292
5,-7.28622142,112.79350828
6,-7.28620377,112.79350475
7,-7.28618613,112.79350123
8,-7.28616833,112.79349870
9,-7.28615046,112.79349672
10,-7.28613258,112.79349473
11,-7.28611470,112.79349274
12,-7.28609682,112.79349076
13,-7.28607894,112.79348877
14,-7.28606107,112.79348679
15,-7.28604319,112.79348480
16,-7.28602531,112.79348281
17,-7.28600743,112.79348083
18,-7.28598958,112.79347862
19,-7.28597175,112.79347626
20,-7.28595391,112.79347389
21,-7.28593608,112.79347153
22,-7.28591825,112.79346917
23,-7.28590041,112.79346680
24,-7.28588258,112.79346444
25,-7.28586475,112.79346208
26,-7.28584692,112.79345971
27,-7.28582908,112.79345735
28,-7.28581125,112.79345498
29,-7.28579342,112.79345262
30,-7.28577558,112.79345026
31,-7.28575775,112.79344789
32,-7.28573992,112.79344553
33,-7.28572208,112.79344317
34,-7.28570425,112.79344080
35,-7.28568642,112.79343844
36,-7.28566859,112.79343608
37,-7.28565075,112.79343371
38,-7.28563292,112.79343135
39,-7.28561509,112.79342899
40,-7.28559725,112.79342662
41,-7.28557942,112.79342426
42,-7.28556159,112.79342190
43,-7.28554375,112.79341953
44,-7.28552592,112.79341717
45,-7.28550809,112.79341481
46,-7.28549026,112.79341244
47,-7.28547242,112.79341008
48,-7.28545459,112.79340772
49,-7.28543676,112.79340535
50,-7.28541892,112.79340299
51,-7.28540109,112.79340063
52,-7.28538326,112.79339826
53,-7.28536542,112.79339590
54,-7.28534759,112.79339354
55,-7.28532976,112.79339117
56,-7.28531193,112.79338881
57,-7.28529409,112.79338645
58,-7.28527626,112.79338408
59,-7.28525843,112.79338172
60,-7.28524059,112.79337936
61,-7.28522276,112.79337699
62,-7.28520493,112.79337463
63,-7.28518709,112.79337227
64,-7.28516926,112.79336995
65,-7.28515132,112.79336867
66,-7.28513337,112.79336738
67,-7.28511543,112.79336610
68,-7.28509749,112.79336482
69,-7.28507955,112.79336354
70,-7.28506161,112.79336226
71,-7.28504367,112.79336098
72,-7.28502577,112.79335932
73,-7.28500800,112.79335648
74,-7.28499024,112.79335364
75,-7.28497248,112.79335080
76,-7.28495471,112.79334795
77,-7.28493695,112.79334511
78,-7.28491918,112.79334227
79,-7.28490142,112.79333943
80,-7.28488365,112.79333658
81,-7.28486589,112.79333374
82,-7.28484813,112.79333090
83,-7.28483036,112.79332806
84,-7.28481260,112.79332522
85,-7.28479483,112.79332237
86,-7.28477707,112.79331953
87,-7.28475931,112.79331669
88,-7.28474154,112.79331385
89,-7.28472378,112.79331100
90,-7.28470601,112.79330816
91,-7.28468825,112.79330532
92,-7.28467049,112.79330248
93,-7.28465272,112.79329964
94,-7.28463496,112.79329679
95,-7.28461719,112.79329395
96,-7.28459943,112.79329111
97,-7.28458167,112.79328827
98,-7.28456390,112.79328542
99,-7.28454614,112.79328258
100,-7.28452836,112.79327982
101,-7.28451048,112.79327783
102,-7.28449261,112.79327585
103,-7.28447473,112.79327386
104,-7.28445685,112.79327187
105,-7.28443898,112.79326980
106,-7.28442134,112.79326627
107,-7.28440370,112.79326274
108,-7.28438603,112.79325939
109,-7.28436825,112.79325665
110,-7.28435047,112.79325392
111,-7.28433268,112.79325118
112,-7.28431490,112.79324845
113,-7.28429712,112.79324571
114,-7.28427934,112.79324298
115,-7.28426156,112.79324024
116,-7.28424378,112.79323750
117,-7.28422600,112.79323477
118,-7.28420822,112.79323203
119,-7.28419044,112.79322930
120,-7.28417266,112.79322656
121,-7.28415488,112.79322383
122,-7.28413710,112.79322109
123,-7.28411926,112.79321881
124,-7.28410138,112.79321682
125,-7.28408350,112.79321483
126,-7.28406562,112.79321285
127,-7.28404775,112.79321086
128,-7.28402993,112.79320840
129,-7.28401216,112.79320558
130,-7.28399440,112.79320276
131,-7.28397663,112.79319994
132,-7.28395886,112.79319712
133,-7.28394109,112.79319430
134,-7.28392333,112.79319148
135,-7.28390556,112.79318866
136,-7.28388779,112.79318584
137,-7.28387002,112.79318302
138,-7.28385226,112.79318020
139,-7.28383449,112.79317738
140,-7.28381672,112.79317456
141,-7.28379895,112.79317174
142,-7.28378119,112.79316892
143,-7.28376342,112.79316610
144,-7.28374565,112.79316328
145,-7.28372788,112.79316046
146,-7.28371011,112.79315764
147,-7.28369235,112.79315482
148,-7.28367458,112.79315200
149,-7.28365681,112.79314918
150,-7.28363904,112.79314636
151,-7.28362128,112.79314354
152,-7.28360351,112.79314072
153,-7.28358574,112.79313790
154,-7.28356797,112.79313508
155,-7.28355021,112.79313226
156,-7.28353244,112.79312943
157,-7.28351467,112.79312661
158,-7.28349690,112.79312379
159,-7.28347914,112.79312097
160,-7.28346137,112.79311815
161,-7.28344360,112.79311533
162,-7.28342583,112.79311251
163,-7.28340804,112.79311000
164,-7.28339006,112.79311000
165,-7.28338000,112.79311000
